"labels","V1","V2","V3","model_name","other_preds","ds"
0,-0.0859491253666592,0.0110699376052688,-0.650506479251551,"bert","1","BNC"
0.25,0.0224469243532049,1.04201592239415e-05,-0.542110429531687,"bert","1","BNC"
0.5,0.018588272160832,7.48431442931743e-06,-0.54596908172406,"bert","1","BNC"
0.75,0.0174530609558094,7.13064988377438e-06,-0.547104292929082,"bert","1","BNC"
1,0.0188112942402005,6.70983077385766e-06,-0.545746059644691,"bert","1","BNC"
1.25,0.0215028707496299,6.45346246196834e-06,-0.543054483135262,"bert","1","BNC"
1.5,0.0247674618403806,6.36193254027076e-06,-0.539789892044511,"bert","1","BNC"
1.75,0.0282620271628334,6.38447859059393e-06,-0.536295326722058,"bert","1","BNC"
2,0.0318099490021106,6.46329794279188e-06,-0.532747404882781,"bert","1","BNC"
2.25,0.0352711438651815,6.56913825697547e-06,-0.52928621001971,"bert","1","BNC"
2.5,0.0385583743323884,6.69746294837076e-06,-0.525998979552504,"bert","1","BNC"
2.75,0.041632896446449,6.84921389253351e-06,-0.522924457438443,"bert","1","BNC"
0,-0.0859491253666592,0.0110699376052688,-0.650506479251551,"ngram","1","BNC"
0.25,0.0200819731636656,0.00040516893738167,-0.544475380721226,"ngram","1","BNC"
0.5,0.0244726594010666,0.00011292120701574,-0.540084694483825,"ngram","1","BNC"
0.75,0.0168657445705352,5.80645080969625e-05,-0.547691609314357,"ngram","1","BNC"
1,0.00820261705498151,3.62456688245364e-05,-0.55635473682991,"ngram","1","BNC"
1.25,0.00103780493511523,2.61988414163872e-05,-0.563519548949777,"ngram","1","BNC"
1.5,-0.00375165016349535,2.098728319032e-05,-0.568309004048387,"ngram","1","BNC"
1.75,-0.00630981004889339,1.78415935633786e-05,-0.570867163933785,"ngram","1","BNC"
2,-0.00747861179341729,1.57139491471139e-05,-0.572035965678309,"ngram","1","BNC"
2.25,-0.00800794249086318,1.42006129283711e-05,-0.572565296375755,"ngram","1","BNC"
2.5,-0.0082685605496145,1.31050897072244e-05,-0.572825914434506,"ngram","1","BNC"
2.75,-0.00839956025538737,1.23092219411499e-05,-0.572956914140279,"ngram","1","BNC"
0,-0.0859491253666592,0.0110699376052688,-0.650506479251551,"gpt","1","BNC"
0.25,-0.00585424097295996,0.00108402533671553,-0.570411594857852,"gpt","1","BNC"
0.5,0.0147128583198642,0.000147247440635212,-0.549844495565028,"gpt","1","BNC"
0.75,0.0151566184921556,6.25137215777615e-05,-0.549400735392736,"gpt","1","BNC"
1,0.0136763247348363,3.32248205606741e-05,-0.550881029150056,"gpt","1","BNC"
1.25,0.012569827941978,1.94892798633532e-05,-0.551987525942914,"gpt","1","BNC"
1.5,0.0118843744829875,1.31352950082757e-05,-0.552672979401905,"gpt","1","BNC"
1.75,0.0115119474907041,1.08434348173395e-05,-0.553045406394188,"gpt","1","BNC"
2,0.0113665670311299,1.07919092416235e-05,-0.553190786853762,"gpt","1","BNC"
2.25,0.0113876781405777,1.18556528398113e-05,-0.553169675744314,"gpt","1","BNC"
2.5,0.0115323048023807,1.33640319360437e-05,-0.553025049082511,"gpt","1","BNC"
2.75,0.0117691325329665,1.49613094022522e-05,-0.552788221351925,"gpt","1","BNC"
0,9.73234041031423e-07,6.65266961157201e-10,-1.10185917949087,"bert","1","CoLA"
0.25,0.00890474319491697,8.2405461219198e-08,-1.09295540952999,"bert","1","CoLA"
0.5,0.025797021028216,2.39383767790221e-07,-1.07606313169669,"bert","1","CoLA"
0.75,0.0416066198322891,3.78511092465936e-07,-1.06025353289262,"bert","1","CoLA"
1,0.052751100403617,4.73427696832903e-07,-1.04910905232129,"bert","1","CoLA"
1.25,0.0591185337435073,5.29001140848243e-07,-1.0427416189814,"bert","1","CoLA"
1.5,0.0617949986229064,5.55064579525105e-07,-1.040065154102,"bert","1","CoLA"
1.75,0.0619195806019807,5.6053748082429e-07,-1.03994057212293,"bert","1","CoLA"
2,0.0603619048767574,5.52299253871831e-07,-1.04149824784815,"bert","1","CoLA"
2.25,0.0577268422239236,5.34950998351915e-07,-1.04413331050098,"bert","1","CoLA"
2.5,0.0544246924914931,5.11314734846091e-07,-1.04743546023341,"bert","1","CoLA"
2.75,0.0507335536500164,4.83224103132791e-07,-1.05112659907489,"bert","1","CoLA"
0,9.73234041031423e-07,6.65266961157201e-10,-1.10185917949087,"ngram","1","CoLA"
0.25,0.000321468192636616,3.42626913795052e-09,-1.10153868453227,"ngram","1","CoLA"
0.5,0.00077656753222885,7.39634491055901e-09,-1.10108358519268,"ngram","1","CoLA"
0.75,0.00126868141304039,1.17047095140121e-08,-1.10059147131187,"ngram","1","CoLA"
1,0.00172510430086488,1.56723801323074e-08,-1.10013504842404,"ngram","1","CoLA"
1.25,0.00209052031112141,1.87898510944324e-08,-1.09976963241378,"ngram","1","CoLA"
1.5,0.00232754161727592,2.07408225593154e-08,-1.09953261110763,"ngram","1","CoLA"
1.75,0.00241884783837372,2.14166032522319e-08,-1.09944130488653,"ngram","1","CoLA"
2,0.00236734311305087,2.08983266679822e-08,-1.09949280961186,"ngram","1","CoLA"
2.25,0.00219331878740061,1.94071428920686e-08,-1.09966683393751,"ngram","1","CoLA"
2.5,0.00192897436806112,1.7231302052654e-08,-1.09993117835685,"ngram","1","CoLA"
2.75,0.00161166998741603,1.46598681933415e-08,-1.10024848273749,"ngram","1","CoLA"
0,9.73234041031423e-07,6.65266961157201e-10,-1.10185917949087,"gpt","1","CoLA"
0.25,0.00100484692798581,9.44549162490001e-09,-1.10085530579692,"gpt","1","CoLA"
0.5,0.00322350927897452,2.94885214624319e-08,-1.09863664344593,"gpt","1","CoLA"
0.75,0.00655468029187074,6.02413460337463e-08,-1.09530547243304,"gpt","1","CoLA"
1,0.0106317428938301,9.7846910410476e-08,-1.09122840983108,"gpt","1","CoLA"
1.25,0.0148172539289178,1.35351224763625e-07,-1.08704289879599,"gpt","1","CoLA"
1.5,0.018397810533348,1.66008964516752e-07,-1.08346234219156,"gpt","1","CoLA"
1.75,0.0208863771946141,1.86578503094946e-07,-1.08097377553029,"gpt","1","CoLA"
2,0.0221746882449124,1.9738984046368e-07,-1.07968546447999,"gpt","1","CoLA"
2.25,0.0224480110464335,2.00503580657746e-07,-1.07941214167847,"gpt","1","CoLA"
2.5,0.0220026855900988,1.98206728295834e-07,-1.07985746713481,"gpt","1","CoLA"
2.75,0.0211121087439091,1.92372705916523e-07,-1.080748043981,"gpt","1","CoLA"
