"attributes","Provo_mean","Provo_var","Natural Stories_mean","Natural Stories_var"
"entropy_0.25","0.013986580789628","4.09496976342192e-06","0.0030070991234935","1.5713365645365e-06"
"entropy_1.0","0.00355984817014276","5.43253364803069e-07","1.9470318016241e-05","9.30826991724487e-11"
"entropy_1.25","0.00287414313533962","4.07311450762075e-07","1.15146323809012e-05","6.88364309088462e-11"
"entropy_1.5","0.00240561415797844","3.23063316723522e-07","9.94773297489263e-06","3.2930230732406e-10"
"entropy_1.75","0.00209708775667536","2.70353467104523e-07","5.2179240684993e-06","7.75771681792718e-10"
"entropy_2.0","0.00188694876354101","2.33366838680347e-07","-7.32433933575414e-06","6.41528760183449e-10"
"ldiff","0.0158566052671353","5.57077622767258e-06","0.00173257321359468","3.45735474698832e-07"
"ldiff2","0.0111987024147899","3.84605642633223e-06","0.0023618545259478","4.29101177213453e-07"
"max","0.0056591968559386","4.43950744580564e-06","0.00293212655764534","9.23517998808505e-07"
"mean","0.0212003274207326","8.17828634546855e-06","0.00981132595045634","1.036671615678e-06"
"power_0.25","0.010875440211855","4.42129354162424e-06","0.00958359252491122","1.10277495852685e-06"
"power_1.0","0.0212810982937596","8.19563497032061e-06","0.00981320778621366","1.0373473478546e-06"
"power_1.25","0.0227768807893154","8.73460568310747e-06","0.00944763731924413","9.99871740824596e-07"
"power_1.5","0.0217416334227539","8.35445418395685e-06","0.00895045700425823","9.70683729373466e-07"
"power_1.75","0.0219719443161646","7.67768111324792e-06","0.00852853577183561","9.3540002114418e-07"
"power_2.0","0.0218382042188568","7.32299727744887e-06","0.00806560431407657","9.20098016176479e-07"
"std","0.0188690435125616","7.52408135170873e-06","0.0038003063326673","6.05952473148999e-07"
"variance","0.0147137224743279","5.19608195036192e-06","0.00382235507460611","6.60818312440865e-07"
"variance_lang","0.0146545291871481","5.04056850250162e-06","0.00326356008571855","5.6778147621322e-07"
