"V1","V2","V3","model","df","levels"
0.00066284582626345,4.78163468746348e-09,-6.00364176802915,"GPT-2","Natural Stories","1"
0.000656690957471913,4.67697307393706e-09,-6.00364792289794,"GPT-2","Natural Stories","2"
0.000557779058678681,4.16362168029921e-09,-6.00374683479674,"GPT-2","Natural Stories","3"
0.000520409293728469,4.02199428725262e-09,-6.00378420456169,"GPT-2","Natural Stories","4"
0.000506933313034774,4.01368082847175e-09,-6.00379768054238,"GPT-2","Natural Stories","5"
0.000194013099656822,1.14320067108553e-09,-6.01606524811804,"GPT-2","Natural Stories","6"
0.00022184563642949,1.41806715495307e-09,-6.01603741558127,"GPT-2","Natural Stories","7"
0.000187469103652926,1.25163232154961e-09,-6.01607179211404,"GPT-2","Natural Stories","8"
0.000694263032813499,3.79302607570304e-08,-6.46605904520915,"GPT-2","Provo","1"
0.000777615622159876,4.78824958187854e-08,-6.4659756926198,"GPT-2","Provo","2"
0.000662094787204352,4.87270950556083e-08,-6.46609121345476,"GPT-2","Provo","3"
0.000735187028196319,5.46903787378786e-08,-6.46601812121377,"GPT-2","Provo","4"
0.000599715116652136,4.80971886595781e-08,-6.46615359312531,"GPT-2","Provo","5"
0.000988429259709172,1.20931220911182e-07,-6.47016964454198,"GPT-2","Provo","6"
0.000600391747319604,1.74439944034699e-07,-6.47055768205437,"GPT-2","Provo","7"
0.00112323659172261,1.98021452134909e-07,-6.47003483720997,"GPT-2","Provo","8"
0.000219022073802018,2.05261685361779e-09,-5.81890145648052,"GPT-2","UCL (R)","1"
0.000167007035503049,1.52458273476422e-09,-5.81895347151882,"GPT-2","UCL (R)","2"
0.000139349929964352,1.38592397542761e-09,-5.81898112862436,"GPT-2","UCL (R)","3"
0.000130414251905633,1.25439755832425e-09,-5.81899006430242,"GPT-2","UCL (R)","4"
0.000112995339828564,1.06252849855899e-09,-5.8190074832145,"GPT-2","UCL (R)","5"
0.00016566171598248,1.75394220500893e-09,-5.81895481683834,"GPT-2","UCL (R)","6"
0.00016571039325314,1.75856123413631e-09,-5.81895476816107,"GPT-2","UCL (R)","7"
0.000870173518030842,8.02440286161175e-09,-5.8182503050363,"GPT-2","UCL (R)","8"
0.00338506158600007,2.19381865705326e-07,-6.0990525593543,"GPT-2","UCL (Eye)","1"
0.00337931255040717,2.21281789066391e-07,-6.0990583083899,"GPT-2","UCL (Eye)","2"
0.00338323544161301,2.22425599703852e-07,-6.09905438549869,"GPT-2","UCL (Eye)","3"
0.00338620971658573,2.2406325269008e-07,-6.09905141122372,"GPT-2","UCL (Eye)","4"
0.00347194103462427,2.30647243551283e-07,-6.09896567990568,"GPT-2","UCL (Eye)","5"
-9.36624503175076e-05,2.6234493818479e-09,-6.11682112127947,"GPT-2","UCL (Eye)","6"
-9.36153740182084e-05,2.67650564637926e-09,-6.11682107420317,"GPT-2","UCL (Eye)","7"
0.000586247313813757,4.09458288065797e-08,-6.11614121151534,"GPT-2","UCL (Eye)","8"
