model_name,generator_model,decoding_strategy,n_texts,mean_surprisal,mean_surprisal_var,mean_uid_k1,mean_n_words,mean_log_tft,mean_surprisal_rel_pct
gpt,mistral,beam_search,42,3.313022586312491,7.560418834152239,288.2959619867683,90.54761904761905,9.869276094520187,-3.0878164346417325
bert,mistral,beam_search,42,1.1173485769560614,3.4419173763281528,93.3630631445099,90.54761904761905,9.869276094520187,-5.006522798559921
ngram,mistral,beam_search,42,7.890248187386881,28.2255512106251,700.5069728808907,90.54761904761905,9.869276094520187,0.5183693346754392
gpt,mistral,greedy_search,42,3.247113863198927,7.195676338292083,283.65627986863717,89.88095238095238,9.82505762135951,-5.015771378060774
bert,mistral,greedy_search,42,1.119161801030472,3.622843626403034,94.65813214325297,89.88095238095238,9.82505762135951,-4.852368165595811
ngram,mistral,greedy_search,42,7.768600876819759,27.63699428054444,686.415714959889,89.88095238095238,9.82505762135951,-1.0313650972151645
gpt,mistral,sampling,42,3.394922369708167,8.012218222098594,292.8445818234826,88.5952380952381,9.84818059443548,-0.6920927003103428
bert,mistral,sampling,42,1.177947002631899,3.592048805931535,99.26312032677903,88.5952380952381,9.84818059443548,0.14536559741662458
ngram,mistral,sampling,42,7.845039561118911,27.760021553476,683.9829887971003,88.5952380952381,9.84818059443548,-0.057569125610446026
gpt,mistral,topk,42,3.3582836581240034,8.025845951590236,300.4535654908196,92.0,9.877468457814201,-1.7638443863122077
bert,mistral,topk,42,1.1630809283350847,3.7773145055176913,102.35953784932069,92.0,9.877468457814201,-1.1185014883915212
ngram,mistral,topk,42,7.7917751692485835,28.02893965893675,706.5804647027246,92.0,9.877468457814201,-0.7361345759301585
gpt,mistral,topp,42,3.3595391307945413,7.659955424765956,284.30969989043524,88.95238095238095,9.848206208834636,-1.7271194335723328
bert,mistral,topp,42,1.1439274471430474,3.2783450486179713,93.43613694338417,88.95238095238095,9.848206208834636,-2.746870483052666
ngram,mistral,topp,42,7.803926717396833,27.36873406205214,679.7978534380962,88.95238095238095,9.848206208834636,-0.5813290773266533
gpt,phi2,greedy_search,42,3.1822094512348764,7.135528123389341,257.57611961803514,82.5952380952381,9.753152387782112,-6.91434831878206
bert,phi2,greedy_search,42,0.9980878440009343,2.9592812566991804,80.46126455818299,82.5952380952381,9.753152387782112,-15.145696867106118
ngram,phi2,greedy_search,42,7.412514802832637,27.91259232368294,611.5475630125791,82.5952380952381,9.753152387782112,-5.5677485733636285
gpt,phi2,sampling,42,3.4970507743232533,8.015463184853555,279.3867932616097,83.02380952380952,9.748853650719758,2.2953565057968417
bert,phi2,sampling,42,1.2288013215611786,3.7380759322202586,96.07379853891806,83.02380952380952,9.748853650719758,4.468840550026032
ngram,phi2,sampling,42,7.719265616528558,27.867825182304678,638.8002907559088,83.02380952380952,9.748853650719758,-1.6598751006268175
gpt,phi2,topk,42,3.391973194473208,7.329107990161237,280.81388239788765,85.71428571428571,9.75795522682815,-0.7783616599357779
bert,phi2,topk,42,1.1535701439654562,3.408420678731196,92.6352640937909,85.71428571428571,9.75795522682815,-1.9270785938865442
ngram,phi2,topk,42,7.579302728069148,26.577794024280166,643.3436361838039,85.71428571428571,9.75795522682815,-3.4429421197100685
gpt,phi2,topp,42,3.348025018379507,7.474906174540185,280.2037993814824,85.97619047619048,9.777733831339223,-2.0639290226672102
bert,phi2,topp,42,1.1278542543897287,3.533324679048183,93.02910496350846,85.97619047619048,9.777733831339223,-4.113363000120396
ngram,phi2,topp,42,7.639584694218048,26.613592033165386,649.6798719150371,85.97619047619048,9.777733831339223,-2.6749757904300897
gpt,wizardlm,beam_search,42,3.3974442751795007,8.11682255487157,275.7482652509125,82.88095238095238,9.768662884279484,-0.6183221902685054
bert,wizardlm,beam_search,42,1.130069566835806,3.5207326299274664,91.03140908064238,82.88095238095238,9.768662884279484,-3.9250240728772923
ngram,wizardlm,beam_search,42,7.968128342869983,29.97958353707805,653.8913974167416,82.88095238095238,9.768662884279484,1.5105290293738527
gpt,wizardlm,greedy_search,42,3.475400952974186,8.743827006866093,285.8501313286609,84.83333333333333,9.787760861978665,1.6620582393116479
bert,wizardlm,greedy_search,42,1.1684739202662886,3.656447697314794,94.85033328987353,84.83333333333333,9.787760861978665,-0.6600062017550035
ngram,wizardlm,greedy_search,42,8.003740654938321,28.71667782127691,663.8356425197622,84.83333333333333,9.787760861978665,1.9642145728868243
gpt,wizardlm,sampling,42,3.7061198609302743,9.354368553140025,306.99143730393786,85.83333333333333,9.837191914946734,8.411023142906316
bert,wizardlm,sampling,42,1.3321731333831512,4.355345912498358,107.56835355584334,85.83333333333333,9.837191914946734,13.257188297631629
ngram,wizardlm,sampling,42,8.22268840978991,29.070599163994675,693.2922173131238,85.83333333333333,9.837191914946734,4.7535148286572015
gpt,wizardlm,topk,42,3.664605786230753,8.954644785656757,302.37994163244264,85.19047619047619,9.821687443113422,7.196657854710664
bert,wizardlm,topk,42,1.3829170480329847,4.348105468769126,111.4075050131556,85.19047619047619,9.821687443113422,17.571277024117137
ngram,wizardlm,topk,42,8.12762881409461,28.61305544999928,679.4790867046007,85.19047619047619,9.821687443113422,3.5424964523049995
gpt,wizardlm,topp,42,3.524438857027957,8.268019365965632,292.48726482704313,85.19047619047619,9.787107536436519,3.096509781825585
bert,wizardlm,topp,42,1.2239072299004594,3.7014841697238485,99.30896764427384,85.19047619047619,9.787107536436519,4.052760202153927
ngram,wizardlm,topp,42,8.121374190916217,28.62179852359294,682.718700255982,85.19047619047619,9.787107536436519,3.4628152423146874
