model_name,model,predictor_lm,baseline,split,outcome,k,delta_loglik,se,mean_aug_loglik,mean_baseline_loglik,n
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,0.25,0.0033574083701811896,0.0012303152262449287,0.07700613380333049,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,0.5,0.004885593216327055,0.0015263892794195163,0.07853431864947635,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,0.75,0.005976671388045804,0.0017063056063834966,0.0796253968211951,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,1.0,0.006686042235128495,0.0018070820270851043,0.0803347676682778,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,1.25,0.007083613373938329,0.0018554315022159737,0.08073233880708763,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,1.5,0.007250382345357967,0.001868312377359492,0.08089910777850728,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,1.75,0.007225177132798543,0.0018523566111087308,0.08087390256594786,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,2.0,0.007059893377586796,0.0018211270669207416,0.0807086188107361,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,2.25,0.006737446756154377,0.00177547269098698,0.08038617218930369,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,2.5,0.006345772537836778,0.0017228629728203075,0.07999449797098608,0.0736487254331493,4473
gpt,gpt,gpt,length_frequency_subject_generator_decoding_task,GroupKFold_by_generated_text_condition,log_total_fixation_time,2.75,0.005729844042575841,0.0016678204710289352,0.07937856947572515,0.0736487254331493,4473
