"lau_preds","V1","V2","V3","model_name","other_preds","ds"
"slor",-0.00341324346906523,1.39257841783651e-06,-0.567970597353957,"bert","1","BNC"
"normlp",-0.00842992046064462,2.38732411168279e-07,-0.572987274345537,"bert","1","BNC"
"slor",0.000163010102013792,7.81888526054027e-05,-0.564394343782878,"ngram","1","BNC"
"normlp",-0.00228944443200483,8.14320007492968e-05,-0.566846798316897,"ngram","1","BNC"
"slor",0.0332106141089431,0.000195157162227587,-0.531346739775949,"gpt","1","BNC"
"normlp",0.0225632223533495,0.000115261643451303,-0.541994131531542,"gpt","1","BNC"
"slor",0.0480775863197477,4.09349029762899e-07,-1.05378256640516,"bert","1","CoLA"
"normlp",0.0569917302266675,5.07126591064053e-07,-1.04486842249824,"bert","1","CoLA"
"slor",0.00934876295390927,7.66250432396234e-08,-1.092511389771,"ngram","1","CoLA"
"normlp",0.0102690931016104,8.45538610444402e-08,-1.0915910596233,"ngram","1","CoLA"
"slor",0.0303428002090857,2.62254322685626e-07,-1.07151735251582,"gpt","1","CoLA"
"normlp",0.0333924582305773,2.92549866312419e-07,-1.06846769449433,"gpt","1","CoLA"
