model_name,model,k,pearson_r,p_value,n
gpt,gpt,0.25,0.3449183584744049,0.0,50350
gpt,gpt,0.5,0.4069130639566839,0.0,50350
gpt,gpt,0.75,0.4567370994867622,0.0,50350
gpt,gpt,1.0,0.49304733366169323,0.0,50350
gpt,gpt,1.25,0.5141557351792085,0.0,50350
gpt,gpt,1.5,0.5191147950335545,0.0,50350
gpt,gpt,1.75,0.5087970417320131,0.0,50350
gpt,gpt,2.0,0.48605722115262795,0.0,50350
gpt,gpt,2.25,0.4548416890650554,0.0,50350
gpt,gpt,2.5,0.4189948288934975,0.0,50350
gpt,gpt,2.75,0.3815092857880461,0.0,50350
bert,bert,0.25,0.4385436598227382,0.0,50350
bert,bert,0.5,0.46908997182432677,0.0,50350
bert,bert,0.75,0.46235295660624787,0.0,50350
bert,bert,1.0,0.44646719296596704,0.0,50350
bert,bert,1.25,0.42827919560122263,0.0,50350
bert,bert,1.5,0.4094616767928887,0.0,50350
bert,bert,1.75,0.3904457369654045,0.0,50350
bert,bert,2.0,0.3713724128274239,0.0,50350
bert,bert,2.25,0.35231459451237246,0.0,50350
bert,bert,2.5,0.333323116562275,0.0,50350
bert,bert,2.75,0.314435853465452,0.0,50350
ngram,ngram,0.25,0.31737357929329146,0.0,50350
ngram,ngram,0.5,0.34743882538917464,0.0,50350
ngram,ngram,0.75,0.36516419822808927,0.0,50350
ngram,ngram,1.0,0.37368800079272957,0.0,50350
ngram,ngram,1.25,0.3751121729973067,0.0,50350
ngram,ngram,1.5,0.37099956329773137,0.0,50350
ngram,ngram,1.75,0.3626722737736551,0.0,50350
ngram,ngram,2.0,0.35129573598659003,0.0,50350
ngram,ngram,2.25,0.33788808605174153,0.0,50350
ngram,ngram,2.5,0.32331674099033875,0.0,50350
ngram,ngram,2.75,0.3082954667794803,0.0,50350
