model_name,model,baseline,outcome,k,delta_loglik,se,mean_aug_loglik,mean_baseline_loglik,n
gpt,gpt,len_ch_len_verb_frame,responsenorm,0.25,0.11498522508571538,0.002299754681188635,-1.3464045029407299,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,0.5,0.14038171772368233,0.0024649966716585666,-1.321008010302763,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,0.75,0.15992945461630312,0.0025736284259455524,-1.3014602734101421,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,1.0,0.1719088625329507,0.002623394471659644,-1.2894808654934944,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,1.25,0.17590072683662705,0.0026237824123486065,-1.2854890011898181,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,1.5,0.17278270051335562,0.0025901337380429645,-1.2886070275130894,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,1.75,0.16423084590038775,0.002541181605349483,-1.2971588821260573,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,2.0,0.15214866155759604,0.0024915037156322175,-1.3092410664688492,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,2.25,0.13825633931864928,0.0024503666888676247,-1.3231333887077958,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,2.5,0.12387337311047202,0.0024216010934053895,-1.337516354915973,-1.4613897280264454,50350
gpt,gpt,len_ch_len_verb_frame,responsenorm,2.75,0.10976029554624912,0.0024042565871975723,-1.3516294324801963,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,0.25,0.12002735683436477,0.0022650988895949195,-1.3413623711920806,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,0.5,0.1201040423575281,0.002218725279339787,-1.3412856856689173,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,0.75,0.11736873759639282,0.002164583103349133,-1.3440209904300526,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,1.0,0.11280490325463714,0.002101671863564418,-1.348584824771808,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,1.25,0.10687823448620216,0.0020317057989047696,-1.354511493540243,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,1.5,0.10007028518408594,0.0019575838827208215,-1.361319442842359,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,1.75,0.09281318136257564,0.0018810893981137105,-1.3685765466638695,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,2.0,0.08542326496177427,0.0018035386539344534,-1.3759664630646709,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,2.25,0.0781175902169619,0.0017259211144709007,-1.3832721378094834,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,2.5,0.07102601748174776,0.0016494482739609424,-1.3903637105446975,-1.4613897280264454,50350
bert,bert,len_ch_len_verb_frame,responsenorm,2.75,0.06422731032814202,0.0015760912934531677,-1.3971624176983028,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,0.25,0.021628920851735275,0.0011306095804880449,-1.4397608071747101,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,0.5,0.02498641234905395,0.0012017060148379502,-1.4364033156773914,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,0.75,0.02800025118347533,0.0012446834601589362,-1.4333894768429698,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,1.0,0.03025922530444391,0.00126235420870247,-1.4311305027220012,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,1.25,0.031466537670308464,0.0012539156237415636,-1.4299231903561367,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,1.5,0.031633496646269806,0.0012248690420235732,-1.4297562313801753,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,1.75,0.03088492238338511,0.0011814282802772224,-1.4305048056430598,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,2.0,0.029669218889382544,0.0011337686384979002,-1.4317205091370626,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,2.25,0.028145848479965797,0.0010838847343138276,-1.4332438795464795,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,2.5,0.02656559057047346,0.0010355412501694644,-1.4348241374559718,-1.4613897280264454,50350
ngram,ngram,len_ch_len_verb_frame,responsenorm,2.75,0.02500449176145507,0.0009924253910195034,-1.43638523626499,-1.4613897280264454,50350
