subset,model_name,model,baseline,outcome,k,delta_loglik,se,mean_aug_loglik,mean_baseline_loglik,n
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.25,-0.00027324482585406457,0.00010728718469759477,0.015628364324992206,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.5,-0.0001931121977581565,0.00013694463391547947,0.01570849695308811,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.75,-0.00012447195516580647,0.00016196411321258585,0.015777137195680458,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.0,-7.502348001282989e-05,0.00017635759067695757,0.015826585670833435,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.25,-4.7358322722219245e-05,0.00017903122677015258,0.015854250828124045,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.5,-4.074073190975589e-05,0.00017032806026830684,0.01586086841893651,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.75,-4.9622184677068655e-05,0.00015186861514437702,0.015851986966169195,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.0,-6.659072045106573e-05,0.000126751450555928,0.015835018430395205,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.25,-7.99417919322568e-05,9.811737470050517e-05,0.01582166735891401,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.5,-8.613129079609707e-05,7.081040309683211e-05,0.01581547786005017,0.015901609150846263,9718
All Ordinary,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.75,-8.245459937752338e-05,4.991496869523647e-05,0.015819154551468748,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.25,-8.143535852200525e-05,0.00019808290356400354,0.01582017379232426,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.5,2.7633002795658268e-05,0.0002187249188425044,0.015929242153641925,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.75,-2.0547781365516026e-05,0.00017188905900433817,0.01588106136948075,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.0,-7.198343780501198e-05,0.00010280769941326727,0.015829625713041258,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.25,-7.466074974853658e-05,4.664595034370784e-05,0.01582694840109773,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.5,-4.0113207941315534e-05,5.556647645240805e-05,0.015861495942904955,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.75,1.3929067488530179e-05,9.773916871121468e-05,0.015915538218334795,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.0,7.57200842729605e-05,0.0001378341220588866,0.015977329235119228,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.25,0.00013917644151054486,0.00017337167813687688,0.01604078559235681,0.015901609150846263,9718
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.5,0.00020173051118686937,0.00020468822735948217,0.016103339662033134,0.015901609150846263,9718
