"labels","V1","V2","V3","V4","model_name","other_preds","ds"
0,9.3910432324718e-08,2.48459210781268e-15,-8.28767286315993,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0.25,0.0116466518265116,4.53779731636835e-06,-8.27602630524385,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0.5,0.0146128986144095,5.38819658761924e-06,-8.27306005845596,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0.75,0.0158660177560988,5.49753173051017e-06,-8.27180693931427,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1,0.0158700631447386,5.08505494532449e-06,-8.27180289392563,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1.25,0.0146919943713705,4.29648043904989e-06,-8.272980962699,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1.5,0.0123778502509236,3.30866608295339e-06,-8.27529510681944,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1.75,0.00959750429826811,2.2335331626096e-06,-8.2780754527721,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2,0.00656510671594798,1.32446627607365e-06,-8.28110785035442,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2.25,0.00420408076391983,7.07489278939007e-07,-8.28346887630645,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2.5,0.00247597154469151,3.8463281869188e-07,-8.28519698552567,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2.75,0.00149146466807047,2.1175933328493e-07,-8.2861814924023,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0,9.3910432324718e-08,2.48459210781268e-15,-8.28767286315993,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0.25,0.0149809879962,5.52566862015386e-06,-8.27269196907417,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0.5,0.0190782561405938,6.83806482974995e-06,-8.26859470092977,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0.75,0.0215045364449004,7.64748115559717e-06,-8.26616842062547,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1,0.022862894223859,7.91633250639652e-06,-8.26481006284651,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1.25,0.0232685191425413,7.85785252151096e-06,-8.26440443792782,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1.5,0.0226434209691003,7.17102384316131e-06,-8.26502953610127,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1.75,0.0221793826615119,6.51278777429124e-06,-8.26549357440885,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2,0.0213156104093334,6.05456913296302e-06,-8.26635734666103,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2.25,0.019621687356337,5.22771775441271e-06,-8.26805126971403,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2.5,0.0164490600447989,4.57331087509356e-06,-8.27122389702557,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2.75,0.0139420546703705,3.51366062729939e-06,-8.2737309024,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0,9.3910432324718e-08,2.48459210781268e-15,-8.28767286315993,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0.25,0.00901700316436414,2.75441239912854e-06,-8.278655953906,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0.5,0.0120613807984924,3.91576949689259e-06,-8.27561157627187,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0.75,0.0122619251714133,4.7394290725661e-06,-8.27541103189895,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1,0.0128620761876899,5.33485815805356e-06,-8.27481088088268,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1.25,0.0122378460065328,5.30651911196338e-06,-8.27543511106383,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1.5,0.0111352822455545,5.09887455829396e-06,-8.27653767482481,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
1.75,0.0113210324418799,4.88269284177041e-06,-8.27635192462849,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2,0.010874103998161,4.90337453615683e-06,-8.27679885307221,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2.25,0.010964370770429,4.63523722565073e-06,-8.27670858629994,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2.5,0.011366304939915,3.92491929192209e-06,-8.27630665213045,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
2.75,0.00838874182567582,4.37841156131283e-06,-8.27928421524469,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Provo"
0,4.16804046258131e-08,8.17897896455712e-16,-8.46482269378615,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0.25,0.000465399995209899,2.24130479558886e-07,-8.46435733547134,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0.5,0.000576712945280026,2.43849255862923e-07,-8.46424602252127,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0.75,0.000633621076546936,2.65031770473818e-07,-8.46418911439,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1,0.000977111135333449,3.89496991697991e-07,-8.46384562433122,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1.25,0.000904208321867102,4.13738776736994e-07,-8.46391852714468,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1.5,0.000713707412407229,4.66282780905039e-07,-8.46410902805414,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1.75,0.000814754435544022,4.95254973477723e-07,-8.46400798103101,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2,0.000265821024997589,6.41700882375478e-07,-8.46455691444155,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2.25,-0.00167246926722891,1.06587705097669e-06,-8.46649520473378,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2.5,-0.00298251989050758,1.54879536909346e-06,-8.46780525535706,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2.75,-0.00390512767571169,1.83319116511107e-06,-8.46872786314226,0,"bert","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0,4.16804046258131e-08,8.17897896455712e-16,-8.46482269378615,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0.25,0.00966518559326527,1.60395907697647e-06,-8.45515754987329,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0.5,0.00984863693217118,1.63563671665348e-06,-8.45497409853438,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0.75,0.00959790090061559,1.68020686922808e-06,-8.45522483456594,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1,0.00917063368314285,1.75093102617174e-06,-8.45565210178341,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1.25,0.0087055799656137,1.847669363957e-06,-8.45611715550094,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1.5,0.00828234178495809,2.06906100421472e-06,-8.4565403936816,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1.75,0.00793623626948697,2.2330415481645e-06,-8.45688649919706,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2,0.00747752190716473,2.41854155375187e-06,-8.45734521355939,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2.25,0.00717919113311884,2.58073279168113e-06,-8.45764354433343,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2.5,0.00642320969970333,2.9059546788675e-06,-8.45839952576685,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2.75,0.00508434341287438,3.4054414843181e-06,-8.45973839205368,0,"gpt","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0,4.16804046258131e-08,8.17897896455712e-16,-8.46482269378615,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0.25,0.00471198155272975,1.93645091154099e-06,-8.46011075391382,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0.5,0.00426322570161408,1.65174997118876e-06,-8.46055950976494,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
0.75,0.00367374705723993,1.34928998796035e-06,-8.46114898840931,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1,0.00318811019507304,1.21684605320196e-06,-8.46163462527148,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1.25,0.00331429742998169,1.35326314487677e-06,-8.46150843803657,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1.5,0.00324829941589679,1.67394450600346e-06,-8.46157443605066,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
1.75,0.00361986542934741,2.2182393686592e-06,-8.4612028700372,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2,0.00363526450937199,3.4959490041043e-06,-8.46118747095718,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2.25,0.00431610315009302,5.00961137033082e-06,-8.46050663231646,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2.5,0.00147379105560482,1.06733550803951e-05,-8.46334894441095,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
2.75,-0.0012055285045314,1.8061126640091e-05,-8.46602826397108,0,"ngram","len+I(len*uni_log_prob_power_1.0)*ch_len","Natural Stories"
